[ 2024-04-07 01:37:58 ] - AuctioneerMicroservice se executa pe portul: 1500
[ 2024-04-07 01:37:58 ] - Se asteapta oferte de la bidderi...
[ 2024-04-07 01:38:26 ] - Licitatia s-a incheiat! Se trimit ofertele spre procesare...
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
[ 2024-04-07 01:38:26 ] - Am trimis toate ofertele catre MessageProcessor.
